user_uuid,course_uuid,legajo,course_name,periodo,particion,fecha_mesa_epoch,nombre_examen,nota_parcial,nota_final_materia
ef290964-32df-4d34-a805-19c6d992cab6,ff748c15-d912-42ae-b144-7f98ded85dd4,558410QZZ,Business-focused bandwidth-monitored matrices,1-2022,48,2022-07-05,SEGUNDO PARCIAL(20),10.0,10.0
98a138bf-7c50-476c-9a4b-204a52d96af8,eb2096ff-355e-4efe-8d43-2bfff5c19885,852808GPU,Self-enabling discrete info-mediaries,1-2022,21,2022-02-09,PRIMER PARCIAL(20),10.0,10.0
98a138bf-7c50-476c-9a4b-204a52d96af8,eb2096ff-355e-4efe-8d43-2bfff5c19885,852808GPU,Self-enabling discrete info-mediaries,1-2022,34,2022-02-18,SEGUNDO PARCIAL(20),10.0,10.0
071bf0e1-6c2e-4cee-822c-cd4dcd7ddac6,68005d22-90dc-42f6-b90a-409714481cbc,524863TPK,Total radical adapter,1-2022,29,2022-04-11,PRIMER PARCIAL(20),6.0,8.0
071bf0e1-6c2e-4cee-822c-cd4dcd7ddac6,68005d22-90dc-42f6-b90a-409714481cbc,524863TPK,Total radical adapter,1-2022,42,2022-05-04,SEGUNDO PARCIAL(20),9.0,8.0
fe50e90a-b0af-4d82-b982-5a7790c3c72e,af630619-d048-463a-a62c-5764f36ae1d3,338047HVP,Future-proofed zero tolerance ability,1-2022,25,2022-04-29,PRIMER PARCIAL(20),9.0,10.0
fe50e90a-b0af-4d82-b982-5a7790c3c72e,af630619-d048-463a-a62c-5764f36ae1d3,338047HVP,Future-proofed zero tolerance ability,1-2022,56,2022-07-14,SEGUNDO PARCIAL(20),10.0,10.0
2a44b973-37d2-4972-9cd8-b45e00dcb263,2fa48a40-a5f0-4c61-824a-3d66a0baf2f2,159129TXF,Fully-configurable contextually-based Graphical User Interface,1-2022,27,2022-04-12,PRIMER PARCIAL(20),9.0,8.0
2a44b973-37d2-4972-9cd8-b45e00dcb263,2fa48a40-a5f0-4c61-824a-3d66a0baf2f2,159129TXF,Fully-configurable contextually-based Graphical User Interface,1-2022,50,2022-05-19,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,8.0
2378c89c-ae84-4735-a2b5-d47ddd432e9b,b93c1009-5190-4a27-9b58-78eb85a32813,122761VKP,Stand-alone next generation infrastructure,1-2022,21,2022-04-01,PRIMER PARCIAL(20),8.0,8.0
2378c89c-ae84-4735-a2b5-d47ddd432e9b,b93c1009-5190-4a27-9b58-78eb85a32813,122761VKP,Stand-alone next generation infrastructure,1-2022,21,2022-04-01,PRIMER PARCIAL(20),8.0,8.0
2378c89c-ae84-4735-a2b5-d47ddd432e9b,b93c1009-5190-4a27-9b58-78eb85a32813,122761VKP,Stand-alone next generation infrastructure,1-2022,34,2022-04-22,SEGUNDO PARCIAL(20),8.0,8.0
8e5b3067-4529-42a6-98af-dc42bb479aa9,15bfa562-b50c-47e4-be33-d36a67d65bca,131128SVR,Quality-focused 24/7 structure,1-2022,19,2022-03-30,PRIMER PARCIAL(20),9.0,8.0
8e5b3067-4529-42a6-98af-dc42bb479aa9,15bfa562-b50c-47e4-be33-d36a67d65bca,131128SVR,Quality-focused 24/7 structure,1-2022,42,2022-05-06,SEGUNDO PARCIAL(20),7.0,8.0
6199ccd0-728a-48ee-81e1-6ac68aa1a1e6,901226fc-b385-4a48-9868-38b9a3080b4a,330016QZD,Implemented 24/7 Graphical User Interface,1-2022,25,2022-04-08,PRIMER PARCIAL(20),6.0,7.0
6199ccd0-728a-48ee-81e1-6ac68aa1a1e6,901226fc-b385-4a48-9868-38b9a3080b4a,330016QZD,Implemented 24/7 Graphical User Interface,1-2022,25,2022-04-08,PRIMER PARCIAL(20),6.0,7.0
6199ccd0-728a-48ee-81e1-6ac68aa1a1e6,901226fc-b385-4a48-9868-38b9a3080b4a,330016QZD,Implemented 24/7 Graphical User Interface,1-2022,42,2022-05-06,SEGUNDO PARCIAL(20),7.0,7.0
f6714d5e-79d1-4c02-ae5a-638bb5e6af0a,2c1b770a-4bea-4d47-8a0f-bffece61b84e,491188ADY,Operative local database,1-2022,27,2022-04-11,PRIMER PARCIAL(20),7.0,7.0
f6714d5e-79d1-4c02-ae5a-638bb5e6af0a,2c1b770a-4bea-4d47-8a0f-bffece61b84e,491188ADY,Operative local database,1-2022,47,2022-05-13,SEGUNDO PARCIAL(20),6.0,7.0
f6714d5e-79d1-4c02-ae5a-638bb5e6af0a,2c1b770a-4bea-4d47-8a0f-bffece61b84e,491188ADY,Operative local database,1-2022,47,2022-05-13,SEGUNDO PARCIAL(20),6.0,7.0
f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,dbc3d0fb-7070-4a93-96b3-a380d8d7da57,694137GRI,Proactive tangible paradigm,1-2022,24,2022-04-27,PRIMER PARCIAL(20),10.0,10.0
f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,dbc3d0fb-7070-4a93-96b3-a380d8d7da57,694137GRI,Proactive tangible paradigm,1-2022,36,2022-05-27,SEGUNDO PARCIAL(20),10.0,10.0
f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,70702c6e-4a91-47f8-85b9-9ed7c888fe87,694137GRI,Multi-channeled user-facing architecture,1-2022,44,2022-06-29,SEGUNDO PARCIAL(20),9.0,8.0
f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,70702c6e-4a91-47f8-85b9-9ed7c888fe87,694137GRI,Multi-channeled user-facing architecture,1-2022,44,2022-06-29,SEGUNDO PARCIAL(20),9.0,8.0
f2dbd20e-13f8-4d5c-b4ee-70b5ed837d5a,70702c6e-4a91-47f8-85b9-9ed7c888fe87,694137GRI,Multi-channeled user-facing architecture,1-2022,58,2022-07-21,RECUPERATORIO PRIMER PARCIAL(20),7.0,8.0
21056e82-1fe6-45a8-a059-a5a6387619c9,dbc3d0fb-7070-4a93-96b3-a380d8d7da57,220932BSH,Proactive tangible paradigm,1-2022,15,2022-04-05,PRIMER PARCIAL(20),5.0,6.0
21056e82-1fe6-45a8-a059-a5a6387619c9,dbc3d0fb-7070-4a93-96b3-a380d8d7da57,220932BSH,Proactive tangible paradigm,1-2022,38,2022-05-31,SEGUNDO PARCIAL(20),7.0,6.0
21056e82-1fe6-45a8-a059-a5a6387619c9,06dd5f32-293c-442e-b602-08107eb61ea8,220932BSH,Customizable fault-tolerant implementation,1-2022,42,2022-06-25,SEGUNDO PARCIAL(20),5.0,6.0
21056e82-1fe6-45a8-a059-a5a6387619c9,06dd5f32-293c-442e-b602-08107eb61ea8,220932BSH,Customizable fault-tolerant implementation,1-2022,58,2022-07-21,INTEGRADOR(30),6.0,6.0
21056e82-1fe6-45a8-a059-a5a6387619c9,ed25cbf1-53e4-4dc7-90b4-c760d976c3ff,220932BSH,Centralized asymmetric projection,1-2022,36,2022-05-26,SEGUNDO PARCIAL(20),6.0,8.0
21056e82-1fe6-45a8-a059-a5a6387619c9,ed25cbf1-53e4-4dc7-90b4-c760d976c3ff,220932BSH,Centralized asymmetric projection,1-2022,59,2022-07-21,INTEGRADOR(30),8.0,8.0
840e22cf-44b4-4637-86d2-a2ca7c06e632,70702c6e-4a91-47f8-85b9-9ed7c888fe87,101513UNA,Multi-channeled user-facing architecture,1-2022,53,2022-07-13,SEGUNDO PARCIAL(20),4.0,3.0
840e22cf-44b4-4637-86d2-a2ca7c06e632,70702c6e-4a91-47f8-85b9-9ed7c888fe87,101513UNA,Multi-channeled user-facing architecture,1-2022,58,2022-07-21,INTEGRADOR(30),4.0,3.0
1a9fa652-2f30-4056-8422-02c8788f632e,5c748576-a1aa-4601-9530-6943bc3a4b9e,643667CMY,Pre-emptive real-time collaboration,1-2022,28,2022-04-13,PRIMER PARCIAL(20),6.0,6.0
1a9fa652-2f30-4056-8422-02c8788f632e,5c748576-a1aa-4601-9530-6943bc3a4b9e,643667CMY,Pre-emptive real-time collaboration,1-2022,38,2022-04-29,SEGUNDO PARCIAL(20),6.0,6.0
8caa4b71-4a42-4ad9-ab9f-238fcf328092,cdcf2160-1901-46d4-ad71-60ee7ef442c6,329231ZKU,Profound web-enabled algorithm,1-2022,21,2022-02-09,PRIMER PARCIAL(20),7.0,6.0
8caa4b71-4a42-4ad9-ab9f-238fcf328092,cdcf2160-1901-46d4-ad71-60ee7ef442c6,329231ZKU,Profound web-enabled algorithm,1-2022,51,2022-03-02,RECUPERATORIO SEGUNDO PARCIAL(20),5.0,6.0
8caa4b71-4a42-4ad9-ab9f-238fcf328092,cdcf2160-1901-46d4-ad71-60ee7ef442c6,329231ZKU,Profound web-enabled algorithm,1-2022,51,2022-03-02,RECUPERATORIO SEGUNDO PARCIAL(20),5.0,6.0
8caa4b71-4a42-4ad9-ab9f-238fcf328092,cdcf2160-1901-46d4-ad71-60ee7ef442c6,329231ZKU,Profound web-enabled algorithm,1-2022,51,2022-03-02,RECUPERATORIO SEGUNDO PARCIAL(20),5.0,6.0
66e6d15e-5b76-4094-b29a-54d7329ecb35,5ed6b85c-e77b-4775-ace7-e3f3c805adc8,401184AWI,Cross-platform bottom-line approach,1-2022,14,2022-02-04,PRIMER PARCIAL(20),7.0,6.0
66e6d15e-5b76-4094-b29a-54d7329ecb35,5ed6b85c-e77b-4775-ace7-e3f3c805adc8,401184AWI,Cross-platform bottom-line approach,1-2022,39,2022-02-22,SEGUNDO PARCIAL(20),5.0,6.0
45b4a4b0-f940-4653-ab4c-728f3e819c1f,3aa3af60-7e1f-4a22-846d-b403c912092f,960737WXE,Digitized user-facing leverage,1-2022,32,2022-06-10,PRIMER PARCIAL(20),9.0,9.0
45b4a4b0-f940-4653-ab4c-728f3e819c1f,3aa3af60-7e1f-4a22-846d-b403c912092f,960737WXE,Digitized user-facing leverage,1-2022,50,2022-07-08,SEGUNDO PARCIAL(20),9.0,9.0
bca159c5-0b68-44b9-a44d-857fb4949bfc,af630619-d048-463a-a62c-5764f36ae1d3,974009QRR,Future-proofed zero tolerance ability,1-2022,30,2022-05-11,PRIMER PARCIAL(20),9.0,9.0
bca159c5-0b68-44b9-a44d-857fb4949bfc,af630619-d048-463a-a62c-5764f36ae1d3,974009QRR,Future-proofed zero tolerance ability,1-2022,30,2022-05-11,PRIMER PARCIAL(20),9.0,9.0
bca159c5-0b68-44b9-a44d-857fb4949bfc,af630619-d048-463a-a62c-5764f36ae1d3,974009QRR,Future-proofed zero tolerance ability,1-2022,36,2022-05-26,SEGUNDO PARCIAL(20),9.0,9.0
5d1af9a4-3203-472b-8c92-ea2ec0cc369e,41fc218f-a64e-4633-9efd-62ad28943f04,524796SUJ,Distributed content-based moratorium,1-2022,24,2022-04-06,PRIMER PARCIAL(20),6.0,5.0
5d1af9a4-3203-472b-8c92-ea2ec0cc369e,41fc218f-a64e-4633-9efd-62ad28943f04,524796SUJ,Distributed content-based moratorium,1-2022,41,2022-05-04,SEGUNDO PARCIAL(20),4.0,5.0
5d1af9a4-3203-472b-8c92-ea2ec0cc369e,41fc218f-a64e-4633-9efd-62ad28943f04,524796SUJ,Distributed content-based moratorium,1-2022,50,2022-05-19,INTEGRADOR(30),5.0,5.0
bf355200-3371-40cf-95b9-82573e54a4b2,d2acaf58-1dcd-4f92-8104-8d3b363cb3b9,297464YEE,Compatible mobile software,1-2022,25,2022-04-08,PRIMER PARCIAL(20),7.0,7.0
bf355200-3371-40cf-95b9-82573e54a4b2,d2acaf58-1dcd-4f92-8104-8d3b363cb3b9,297464YEE,Compatible mobile software,1-2022,42,2022-05-06,SEGUNDO PARCIAL(20),7.0,7.0
4f57fa5d-8c25-41a3-8867-57dd9160930e,d4f66093-6736-4d3a-b179-47a7fb772336,153695VQV,Balanced bifurcated help-desk,1-2022,26,2022-05-02,PRIMER PARCIAL(20),8.0,8.0
4f57fa5d-8c25-41a3-8867-57dd9160930e,d4f66093-6736-4d3a-b179-47a7fb772336,153695VQV,Balanced bifurcated help-desk,1-2022,38,2022-05-30,SEGUNDO PARCIAL(20),7.0,8.0
2e8c205a-f0b0-46c7-9200-a0c5bc9e6aa6,6eadafb2-0fda-45b1-8b54-fe31849253c0,451609MTW,Implemented transitional matrices,1-2022,23,2022-05-27,PRIMER PARCIAL(20),9.0,6.0
2e8c205a-f0b0-46c7-9200-a0c5bc9e6aa6,6eadafb2-0fda-45b1-8b54-fe31849253c0,451609MTW,Implemented transitional matrices,1-2022,54,2022-07-15,SEGUNDO PARCIAL(20),8.0,6.0
83caec7e-d139-4687-9b43-9b3f2d542119,7ecb5998-7ebd-426b-9b12-9711d890443b,436813CQV,Fundamental tangible utilization,1-2022,30,2022-06-07,PRIMER PARCIAL(20),7.0,7.0
83caec7e-d139-4687-9b43-9b3f2d542119,7ecb5998-7ebd-426b-9b12-9711d890443b,436813CQV,Fundamental tangible utilization,1-2022,43,2022-06-28,SEGUNDO PARCIAL(20),6.0,7.0
7e9508bf-1695-42c4-8848-b20ec4935402,74991917-6eec-427c-8ced-54fd28363178,444776QHD,Optional zero-defect conglomeration,1-2022,34,2022-04-23,PRIMER PARCIAL(20),7.0,7.0
7e9508bf-1695-42c4-8848-b20ec4935402,74991917-6eec-427c-8ced-54fd28363178,444776QHD,Optional zero-defect conglomeration,1-2022,50,2022-05-19,SEGUNDO PARCIAL(20),6.0,7.0
7e9508bf-1695-42c4-8848-b20ec4935402,61819379-999e-4447-8a98-ccf8a7828a38,444776QHD,Ameliorated regional instruction set,1-2022,37,2022-06-18,PRIMER PARCIAL(20),7.0,9.0
7e9508bf-1695-42c4-8848-b20ec4935402,61819379-999e-4447-8a98-ccf8a7828a38,444776QHD,Ameliorated regional instruction set,1-2022,46,2022-07-02,SEGUNDO PARCIAL(20),10.0,9.0
b187a125-ed59-490d-8a40-e704aeba6e76,d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,927660ESX,Customizable hybrid forecast,1-2022,14,2022-04-05,PRIMER PARCIAL(20),10.0,10.0
b187a125-ed59-490d-8a40-e704aeba6e76,d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,927660ESX,Customizable hybrid forecast,1-2022,27,2022-04-22,SEGUNDO PARCIAL(20),10.0,10.0
b187a125-ed59-490d-8a40-e704aeba6e76,d1ecb02f-5535-41ac-a0ee-9e620c3d84ca,927660ESX,Configurable human-resource challenge,1-2022,16,2022-04-07,PRIMER PARCIAL(20),6.0,7.0
b187a125-ed59-490d-8a40-e704aeba6e76,d1ecb02f-5535-41ac-a0ee-9e620c3d84ca,927660ESX,Configurable human-resource challenge,1-2022,56,2022-07-15,SEGUNDO PARCIAL(20),7.0,7.0
b187a125-ed59-490d-8a40-e704aeba6e76,315d9355-3583-4e8a-8a25-6677140a11d7,927660ESX,Customer-focused multi-state open architecture,1-2022,6,2022-03-25,PRIMER PARCIAL(20),10.0,10.0
b187a125-ed59-490d-8a40-e704aeba6e76,315d9355-3583-4e8a-8a25-6677140a11d7,927660ESX,Customer-focused multi-state open architecture,1-2022,33,2022-04-29,SEGUNDO PARCIAL(20),10.0,10.0
b187a125-ed59-490d-8a40-e704aeba6e76,cfb4b5bf-af99-4823-8a00-a00488371ebb,927660ESX,Team-oriented 3rdgeneration complexity,1-2022,13,2022-03-31,PRIMER PARCIAL(20),9.0,10.0
b187a125-ed59-490d-8a40-e704aeba6e76,cfb4b5bf-af99-4823-8a00-a00488371ebb,927660ESX,Team-oriented 3rdgeneration complexity,1-2022,44,2022-06-16,SEGUNDO PARCIAL(20),10.0,10.0
fbcf3ef9-7050-4c49-b20f-7dd73a6d505e,18eeee2e-26ae-44ba-89fa-8e50afc007b3,992099VHS,Multi-channeled encompassing secured line,1-2022,36,2022-06-16,PRIMER PARCIAL(20),6.0,7.0
fbcf3ef9-7050-4c49-b20f-7dd73a6d505e,18eeee2e-26ae-44ba-89fa-8e50afc007b3,992099VHS,Multi-channeled encompassing secured line,1-2022,54,2022-07-15,SEGUNDO PARCIAL(20),8.0,7.0
fbcf3ef9-7050-4c49-b20f-7dd73a6d505e,18eeee2e-26ae-44ba-89fa-8e50afc007b3,992099VHS,Multi-channeled encompassing secured line,1-2022,54,2022-07-15,SEGUNDO PARCIAL(20),8.0,7.0
fbcf3ef9-7050-4c49-b20f-7dd73a6d505e,18eeee2e-26ae-44ba-89fa-8e50afc007b3,992099VHS,Multi-channeled encompassing secured line,1-2022,54,2022-07-15,SEGUNDO PARCIAL(20),8.0,7.0
6a2b1f7c-b1d8-4a52-9da2-4a0d525c7347,0bc5f954-2394-4cd2-a815-fc8b69838405,618187CSB,Multi-channeled radical moratorium,1-2022,20,2022-02-08,PRIMER PARCIAL(20),6.0,7.0
6a2b1f7c-b1d8-4a52-9da2-4a0d525c7347,0bc5f954-2394-4cd2-a815-fc8b69838405,618187CSB,Multi-channeled radical moratorium,1-2022,44,2022-02-25,SEGUNDO PARCIAL(20),6.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,25,2022-04-29,PRIMER PARCIAL(20),7.0,7.0
09e5f9e0-b3ca-49f7-8439-ac77e918e759,7c67e2c5-f5f5-444d-9dae-b9cec098d187,889745LFS,Down-sized mission-critical forecast,1-2022,56,2022-07-15,SEGUNDO PARCIAL(20),7.0,7.0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d,b154ef16-61fd-47a7-b51d-7e4b42db84d1,040385GLW,Grass-roots stable initiative,1-2022,21,2022-04-01,PRIMER PARCIAL(20),8.0,8.0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d,b154ef16-61fd-47a7-b51d-7e4b42db84d1,040385GLW,Grass-roots stable initiative,1-2022,34,2022-04-23,SEGUNDO PARCIAL(20),8.0,8.0
b2c269e6-9c4f-4928-a288-1d7b6b5ca127,661669e3-0a7a-4318-8351-b6f4fac6e98a,316575TAC,Monitored exuding projection,1-2022,28,2022-04-13,PRIMER PARCIAL(20),8.0,9.0
b2c269e6-9c4f-4928-a288-1d7b6b5ca127,661669e3-0a7a-4318-8351-b6f4fac6e98a,316575TAC,Monitored exuding projection,1-2022,45,2022-05-11,SEGUNDO PARCIAL(20),9.0,9.0
62475575-646d-42ff-8f4e-2243aa3d97e6,511e3cc1-6403-419d-8df2-8b3437254ba8,161370BXZ,Automated intermediate open system,1-2022,35,2022-06-15,PRIMER PARCIAL(20),5.0,5.0
62475575-646d-42ff-8f4e-2243aa3d97e6,511e3cc1-6403-419d-8df2-8b3437254ba8,161370BXZ,Automated intermediate open system,1-2022,52,2022-07-12,SEGUNDO PARCIAL(20),5.0,5.0
92e616e5-41aa-42be-9acb-dda06abd0285,315d9355-3583-4e8a-8a25-6677140a11d7,053315WJE,Customer-focused multi-state open architecture,1-2022,19,2022-04-11,PRIMER PARCIAL(20),7.0,9.0
070ea2b0-8af8-4cb6-b11d-538328dc2fe1,0d31a39c-3a06-43f3-be59-27c2b6bc2edb,005302HJF,Digitized 4thgeneration knowledgebase,1-2022,27,2022-05-05,PRIMER PARCIAL(20),8.0,8.0
070ea2b0-8af8-4cb6-b11d-538328dc2fe1,0d31a39c-3a06-43f3-be59-27c2b6bc2edb,005302HJF,Digitized 4thgeneration knowledgebase,1-2022,53,2022-07-07,SEGUNDO PARCIAL(20),7.0,8.0
6eb8ec6f-5e65-45aa-9ce0-4957ffe90db4,127ca5c2-1366-4695-9cfd-2979fe6e3dec,423049AKC,Fundamental context-sensitive middleware,1-2022,31,2022-06-09,PRIMER PARCIAL(20),6.0,6.0
6eb8ec6f-5e65-45aa-9ce0-4957ffe90db4,127ca5c2-1366-4695-9cfd-2979fe6e3dec,423049AKC,Fundamental context-sensitive middleware,1-2022,52,2022-07-12,SEGUNDO PARCIAL(20),6.0,6.0
3ca425c7-8ac0-4806-a4ce-8e86ad113a58,e873a748-c047-4460-9427-f0e33007ee4c,958606UZD,Vision-oriented tertiary intranet,1-2022,58,2022-07-21,INTEGRADOR(30),7.0,7.0
3ca425c7-8ac0-4806-a4ce-8e86ad113a58,fa72c29b-bbfb-4953-b023-5321f95ae41b,958606UZD,Robust client-server Graphic Interface,1-2022,32,2022-06-10,PRIMER PARCIAL(20),9.0,9.0
3ca425c7-8ac0-4806-a4ce-8e86ad113a58,fa72c29b-bbfb-4953-b023-5321f95ae41b,958606UZD,Robust client-server Graphic Interface,1-2022,50,2022-07-08,SEGUNDO PARCIAL(20),8.0,9.0
689ac468-76bf-4edd-9c53-43b684afd1f5,d4f66093-6736-4d3a-b179-47a7fb772336,879014UZE,Balanced bifurcated help-desk,1-2022,30,2022-05-11,PRIMER PARCIAL(20),4.0,6.0
689ac468-76bf-4edd-9c53-43b684afd1f5,d4f66093-6736-4d3a-b179-47a7fb772336,879014UZE,Balanced bifurcated help-desk,1-2022,55,2022-07-12,SEGUNDO PARCIAL(20),6.0,6.0
689ac468-76bf-4edd-9c53-43b684afd1f5,d4f66093-6736-4d3a-b179-47a7fb772336,879014UZE,Balanced bifurcated help-desk,1-2022,58,2022-07-20,INTEGRADOR(30),6.0,6.0
ab0cd398-b185-4143-a78c-081a841b88b9,16225be1-bd06-458f-b563-4c44b679395e,187636RBZ,Mandatory well-modulated parallelism,1-2022,31,2022-06-08,PRIMER PARCIAL(20),9.0,8.0
ab0cd398-b185-4143-a78c-081a841b88b9,16225be1-bd06-458f-b563-4c44b679395e,187636RBZ,Mandatory well-modulated parallelism,1-2022,46,2022-07-02,SEGUNDO PARCIAL(20),7.0,8.0
c9f15060-d3e4-419b-9a16-dadeee19a145,3954d8f6-5555-4142-80e8-21822abe8348,671943CGG,Integrated mobile moratorium,1-2022,30,2022-06-07,PRIMER PARCIAL(20),4.0,9.0
c9f15060-d3e4-419b-9a16-dadeee19a145,3954d8f6-5555-4142-80e8-21822abe8348,671943CGG,Integrated mobile moratorium,1-2022,45,2022-06-30,SEGUNDO PARCIAL(20),8.0,9.0
c9f15060-d3e4-419b-9a16-dadeee19a145,3954d8f6-5555-4142-80e8-21822abe8348,671943CGG,Integrated mobile moratorium,1-2022,57,2022-07-19,RECUPERATORIO PRIMER PARCIAL(20),10.0,9.0
c9f15060-d3e4-419b-9a16-dadeee19a145,3954d8f6-5555-4142-80e8-21822abe8348,671943CGG,Integrated mobile moratorium,1-2022,57,2022-07-19,RECUPERATORIO PRIMER PARCIAL(20),10.0,9.0
c9f15060-d3e4-419b-9a16-dadeee19a145,3954d8f6-5555-4142-80e8-21822abe8348,671943CGG,Integrated mobile moratorium,1-2022,57,2022-07-19,RECUPERATORIO PRIMER PARCIAL(20),10.0,9.0
